step,train_loss,val_loss,val_ppl,gap,lambda
50,6.473140716552734,6.447364766548804,631.0371695234962,-0.02577595000393007,0.1
100,6.227437973022461,6.205763975674412,495.59743573230054,-0.021673997348049312,0.1
150,5.969468116760254,6.060058513260541,428.40050323618397,0.09059039650028744,0.1
200,5.862443923950195,5.907020192894811,367.6091174801888,0.04457626894461608,0.1
250,5.822514533996582,5.764588784079451,318.80791818602125,-0.057925749917131064,0.1
300,5.478357315063477,5.633678228515882,279.6889879545216,0.15532091345240584,0.1
350,5.299271583557129,5.508635166655677,246.81403705648515,0.20936358309854786,0.1
400,5.410045146942139,5.41017278253474,223.67023065143258,0.00012763559260164925,0.1
450,5.33740758895874,5.311105750870917,202.5741010803197,-0.02630183808782327,0.1
500,5.288403034210205,5.239720004433574,188.61728300841878,-0.048683029776631415,0.1
550,5.1002936363220215,5.1818122070612995,178.00510097800858,0.08151857073927804,0.1
600,4.9188361167907715,5.115070511877755,166.51252167995779,0.19623439508698315,0.1
650,4.799143314361572,5.049875131873929,156.0029834699339,0.2507318175123565,0.1
700,4.796730995178223,5.003365774019256,148.913525845928,0.20663477884103365,0.1
750,5.134828567504883,4.963424849632814,143.08299544577997,-0.1714037178720691,0.1
800,4.846287250518799,4.923207988602349,137.44282172252392,0.07692073808355016,0.1
850,4.771265029907227,4.885238100803367,132.3219675505713,0.11397307089614017,0.1
900,4.692410945892334,4.844259814863085,127.00923684325703,0.15184886897075067,0.1
950,4.817431449890137,4.797719771743916,121.23366168445138,-0.01971167814622099,0.1
1000,4.683488368988037,4.766251728484288,117.47807594639241,0.08276335949625047,0.1
1050,4.563246250152588,4.729683307035818,113.25968812204839,0.16643705688322985,0.1
1100,4.567857265472412,4.7080537451508855,110.83623429227302,0.14019647967847337,0.1
1150,4.696425914764404,4.679374567717949,107.70269076255107,-0.017051347046455056,0.1
1200,4.463521957397461,4.646339316898201,104.20283298423581,0.1828173595007403,0.1
