step,V,C_rank,K,acc_train,acc_test,lambda,gate_mean
1,4.939005374908447,30.45799157913203,150.43218411824932,0.008877284824848175,0.007607114966958761,2.0167340147820413e-34,0.46235918005307514
2,4.817080974578857,30.370631772054384,146.29779249510335,0.009660574607551098,0.00861393939703703,2.310320132993131e-33,0.45579466223716736
3,4.7697649002075195,29.909816653487425,142.66279364544664,0.009660574607551098,0.008837677538394928,5.9518714811060546e-33,0.45733121037483215
4,4.749956130981445,29.222975089610152,138.8078496924118,0.009660574607551098,0.00861393939703703,8.845287969621188e-33,0.4577576716740926
5,4.735720157623291,28.615651563919666,135.51571793477882,0.013315927237272263,0.00805459264665842,1.1758761965264175e-32,0.45095545053482056
6,4.723470211029053,28.104042205596063,132.74860616763624,0.01070496067404747,0.006712160538882017,1.5023287248932779e-32,0.43939587473869324
7,4.713592529296875,27.668137586032177,130.41632662507934,0.015143603086471558,0.006040944252163172,1.8304684581693872e-32,0.42561233043670654
8,4.706064224243164,27.288539587392986,128.42161988407344,0.0174934733659029,0.005817205645143986,2.1279049259941095e-32,0.411388099193573
9,4.699713706970215,26.937189343896044,126.59707798676024,0.01827676221728325,0.005369728431105614,2.4160754439298306e-32,0.3976006706555684
10,4.693145275115967,26.590353937979952,124.79239394769185,0.016449086368083954,0.006264682859182358,2.755268901658474e-32,0.3846510946750641
100,0.11413121968507767,20.820004753858033,2.3762125364069324,1.0,0.012417497113347054,0.0002992621993511578,0.669520378112793
200,0.01726435124874115,20.308828134657958,0.35061874236705154,1.0,0.01789909414947033,0.00029733715825036355,0.6936440467834473
300,4.66880989074707,19.339137617270673,90.29075698603205,0.06840731203556061,0.005369728431105614,4.4255129735261044e-32,0.5051525582869848
400,0.01458537857979536,13.433245911803963,0.19592897717914912,1.0,0.023268822580575943,0.0002953622074808094,0.5874002575874329
500,0.01033452246338129,13.399613751521944,0.13847860931573638,1.0,0.024499384686350822,0.0002941485512481854,0.6082749962806702
600,0.00962803140282631,13.322235826753516,0.12826690489584058,1.0,0.02830294333398342,0.00029278311011066605,0.6256195306777954
700,0.0092514269053936,13.20091077757047,0.1221272611433158,1.0,0.03288958594202995,0.0002918053886670738,0.6389093697071075
800,2.944040060043335,11.70916847006755,34.47226104567519,0.20757180452346802,0.005929075181484222,4.15817621658374e-17,0.5280922055244446
900,0.014883127063512802,11.97464809911458,0.17822020919997433,1.0,0.030428459867835045,0.00029204749371701186,0.5280655225118002
1000,0.010206058621406555,11.954556578268587,0.12200890523073056,1.0,0.03758809715509415,0.0002907889499635553,0.5462169448534647
1100,0.00923642423003912,11.908402438828139,0.10999105682704917,1.0,0.040832310914993286,0.0002895869292926279,0.5602526664733887
1200,0.00874886754900217,11.845165143201681,0.10363178093392884,1.0,0.04441212862730026,0.0002880882059474001,0.5704582730929056
