step,V_train,C,K,V_val,val_ppl
2575,2.5403,6019580.1,15291402.3,4.8484,127.54
2600,2.4987,6019814.5,15041508.9,4.8699,130.31
2625,2.5739,6020042.0,15494833.9,4.8968,133.87
2650,2.5054,6020278.1,15083501.5,4.8960,133.75
2675,2.4864,6020510.3,14969607.3,4.9118,135.89
2700,2.2991,6020730.7,13841972.9,4.9319,138.64
2725,2.5632,6020946.2,15432843.4,4.9493,141.08
2750,2.5393,6021173.2,15289303.6,4.9631,143.03
2775,2.3289,6021398.6,14023469.9,4.9912,147.12
2800,2.4137,6021618.3,14534604.7,5.0130,150.36
2825,2.2723,6021845.9,13683283.9,5.0121,150.22
2850,2.1558,6022069.6,12982516.0,5.0333,153.43
2875,2.2397,6022292.4,13487973.7,5.0604,157.65
2900,2.1983,6022504.6,13239133.4,5.0757,160.08
2925,2.2486,6022730.9,13542745.8,5.0845,161.50
2950,2.1659,6022951.6,13045218.6,5.1017,164.30
2975,2.0794,6023173.0,12524447.0,5.1105,165.75
3000,2.2798,6023390.7,13732019.5,5.1372,170.23
