step,V,C_rank,K,acc_train,acc_test,lambda,gate_mean
1,4.935612678527832,30.447884160097015,150.27896309492158,0.008616187609732151,0.008837677538394928,2.174727931676628e-34,nan
2,4.803452491760254,30.377143749263166,145.91516683495757,0.009399477392435074,0.009173286147415638,3.0572696428954613e-33,nan
3,4.766138076782227,30.15684105439561,143.7316684248244,0.009660574607551098,0.008837677538394928,6.44823689177467e-33,nan
4,4.747507572174072,29.71136832231809,141.054946089858,0.012271540239453316,0.007718984503298998,9.359751404162521e-33,nan
5,4.733022689819336,29.2497596598235,138.43977614170691,0.012010443955659866,0.0070477682165801525,1.2504824494149148e-32,nan
6,4.721841335296631,28.84771955263881,136.21435461269476,0.013054830022156239,0.006935899145901203,1.563855957436786e-32,nan
7,4.71411657333374,28.50862670979137,134.39298965561244,0.016710182651877403,0.006264682859182358,1.825127433136426e-32,nan
8,4.708637714385986,28.220376303906008,132.87952817873642,0.016449086368083954,0.006264682859182358,2.0364961380470486e-32,nan
9,4.703710556030273,27.94499189138026,131.44515334766572,0.014882506802678108,0.006935899145901203,2.2473957586455913e-32,nan
10,4.698228359222412,27.65445828488516,129.92696017298064,0.016187990084290504,0.0068240296095609665,2.507820607578741e-32,nan
100,0.09538637101650238,22.803340376792153,2.1751278855962854,1.0,0.016780400648713112,0.0002989126300481038,nan
200,0.015289906412363052,22.433581137023488,0.34300735607924226,1.0,0.02617742493748665,0.00029612960733862846,nan
300,0.01013972144573927,20.652213308089276,0.20940769018201477,1.0,0.0352388434112072,0.00029283129752500275,nan
400,0.10665634274482727,11.777539326213883,1.25614927106735,1.0,0.020360220223665237,0.0002935499845520653,nan
500,0.012488633394241333,11.818817030889546,0.1476008730523954,1.0,0.029086029157042503,0.0002928155471191841,nan
600,0.00901308748871088,11.727869902552198,0.10570431748792211,1.0,0.033672671765089035,0.000291439653290755,nan
700,0.007904831320047379,11.596382684531156,0.09166744904393698,1.0,0.042062871158123016,0.0002898892134592485,nan
