step,train_loss,val_loss,val_ppl,gate_mean
50,6.526580333709717,6.480067799812286,652.0151512774737,0.8347414786380435
100,6.190086841583252,6.217561492658331,501.47887990079175,0.8306684978897609
150,5.882863521575928,6.071805557988126,433.46261733815464,0.8459733928006793
200,5.807408332824707,5.9227782902631025,373.44782035050787,0.8715906661181223
250,5.802005767822266,5.783572072579084,324.9177497406479,0.8913836069996395
300,5.5556640625,5.658002126724663,286.5755286521504,0.9025774430187922
350,5.404806613922119,5.5302094215508095,252.19672092195887,0.9084915866454443
400,5.134139537811279,5.426700949380673,227.39780970835596,0.91769111913348
450,5.238855838775635,5.32591964786742,205.5973507143549,0.9190441422046177
500,5.296961307525635,5.2532556590743,191.18769829273793,0.9216826314490939
550,4.944606304168701,5.204390203063528,182.06981329598716,0.9231969867906873
600,4.946963310241699,5.123325642189973,167.89279356873553,0.9270674420727624
650,4.925614356994629,5.060095592071011,157.60558144723578,0.9303590719188962
700,4.652744293212891,5.02106609811489,151.5728091745947,0.9290359304064796
750,4.931576251983643,4.976419821703186,144.95448863983188,0.9289776339890465
800,4.816802024841309,4.932648358384228,138.74647659361605,0.9340106009963959
850,4.773187637329102,4.89078815213203,133.05840299928528,0.933367203861948
900,4.714206695556641,4.853550133513767,128.1946912232083,0.9360600622400405
950,4.738499164581299,4.8060677090845685,122.24994874420277,0.9335176556829422
1000,4.8070597648620605,4.774331236164398,118.43108570382925,0.9366308252016703
1050,5.144176483154297,4.752592804238133,115.8843608013805,0.9338867576822402
1100,4.66228723526001,4.708935032279063,110.93395589296016,0.9339625747903945
1150,4.492464542388916,4.69144033460262,109.01007777455887,0.9334558161005141
1200,4.510219573974609,4.660139140624142,105.65078144967335,0.9337905929202125
-1,0.10373082011938095,0.921556,0.88749725,0.9337905929202125
