step,train_loss,val_loss,val_ppl,gap,lambda
50,6.473138809204102,6.4473631245638545,631.0361333708117,-0.025775684640247043,0.09957224306869053
100,6.227429389953613,6.205755969656289,495.59346798613166,-0.021673420297323887,0.09829629131445342
150,5.9694318771362305,6.060026580409441,428.386823405122,0.09059470327321062,0.09619397662556434
200,5.862372398376465,5.906937964864183,367.57889094916857,0.04456556648771848,0.09330127018922194
250,5.822366237640381,5.764418425457919,318.75361113451413,-0.057947812182462144,0.08966766701456177
300,5.478054523468018,5.633377289163122,279.6048311951879,0.15532276569510461,0.08535533905932738
350,5.298700332641602,5.508163535991623,246.69765943407535,0.20946320335002167,0.08043807145043604
400,5.409324645996094,5.409524804833454,223.52534427616865,0.0002001588373605756,0.07500000000000001
450,5.336374759674072,5.31024129945444,202.39906127930155,-0.02613346021963192,0.0691341716182545
500,5.286997318267822,5.23853222149703,188.39337961876103,-0.04846509677079247,0.06294095225512605
550,5.09834623336792,5.1803013018772806,177.73635522396074,0.08195506850936063,0.05652630961100258
600,4.916841506958008,5.113318535400079,166.22105105812665,0.1964770284420716,0.05
650,4.796634674072266,5.047607003329817,155.64954961837995,0.250972329257551,0.043473690388997434
700,4.793946743011475,5.000670514749618,148.51270568478859,0.20672377173814382,0.03705904774487397
750,5.131964683532715,4.960308276342504,142.6377609671993,-0.1716564071902109,0.030865828381745515
800,4.842807769775391,4.9197249709551105,136.9649386696476,0.0769172011797199,0.02499999999999999
850,4.767258644104004,4.881227404999258,131.79232721363192,0.1139687608952542,0.019561928549563984
900,4.6890082359313965,4.839836999617428,126.44873885739784,0.1508287636860315,0.014644660940672627
950,4.8128228187561035,4.792870515299093,120.64719169014882,-0.0199523034570106,0.010332332985438238
1000,4.678125381469727,4.760665947885072,116.82369849480673,0.08254056641534557,0.006698729810778076
1050,4.556204319000244,4.7237687860249356,112.591788417396,0.1675644670246914,0.0038060233744356634
1100,4.561009883880615,4.701730780383719,110.1376316354132,0.1407208965031037,0.0017037086855465845
1150,4.68976354598999,4.672772983324816,106.99402409521349,-0.016990562665173847,0.0004277569313094809
1200,4.455432415008545,4.639494842149655,103.49205455247004,0.18406242714110999,0.0
