step,V,C,K_est,acc_train,acc_test,gov_signal,srank
1,5.214466571807861,53900.23365089204,281060.96658520977,0.009138381201044387,0.008613938919342208,1e-06,47.41252830806799
2,4.993618965148926,53890.04583266843,269106.3549027579,0.012010443864229765,0.009732632285490548,1e-06,47.330822048313834
3,4.816396236419678,53879.78871457465,259506.41158396477,0.010182767624020888,0.007495245553193869,1e-06,46.89489651047977
4,4.762556552886963,53869.11830306519,256554.72237250613,0.010443864229765013,0.007271506879964202,1e-06,46.160105924933625
5,4.733842372894287,53858.3513941993,254956.94596409076,0.015404699738903394,0.005929074840586196,1e-06,45.32431940082742
6,4.7176408767700195,53847.54368964117,254033.3732239107,0.02010443864229765,0.005593466830741693,1e-06,44.534546526011844
7,4.708117485046387,53836.67553375196,253469.39341722662,0.0195822454308094,0.007495245553193869,1e-06,43.8392097063435
8,4.701024055480957,53825.72658992512,253036.03550297898,0.018015665796344647,0.006264682850430697,1e-06,43.22434114013305
9,4.694248199462891,53814.69623329351,252619.54089778045,0.020887728459530026,0.006600290860275198,1e-06,42.661592531408104
10,4.687317371368408,53803.62968596583,252194.6880697006,0.02454308093994778,0.006152813513815863,1e-06,42.119730474065754
100,3.0662732124328613,52934.869028563146,162312.7709059251,0.2584856396866841,0.0006712160196890032,1.000000000025401e-06,32.46079352468618
200,0.31395280361175537,47393.15769446129,14879.214730190159,0.9869451697127938,0.0011186933661483387,0.0003,16.056779137694203
300,0.8363785743713379,43665.85509520117,36521.185633229776,0.8391644908616188,0.0005593466830741693,0.00029999985742568965,8.700212230759158
400,0.04185967147350311,40930.86250431044,1713.3524575575618,1.0,0.000894954692918671,0.0003,8.546250208545876
500,0.031072696670889854,38343.46631842066,1191.4348982227668,1.0,0.000894954692918671,0.0003,8.46518882670581
600,4.385528564453125,36281.282319909,159112.59996894904,0.06422976501305483,0.004139165454748853,1e-06,6.9900982234235425
700,3.019864320755005,36593.86796561651,110508.51622778484,0.2503916449086162,0.003356080098445016,1.0000000000642622e-06,5.7757397545729106
800,2.284348964691162,36762.73875668558,83978.92421804638,0.4577023498694517,0.004362904127978521,1.00015723892227e-06,6.112120317264837
900,0.10132710635662079,35102.045973688866,3556.788745710964,1.0,0.001006824029533505,0.0003,6.148210931905092
1000,3.178745985031128,33006.34257293311,104918.7789342731,0.34099216710182767,0.007159637543349368,1.0000000000026787e-06,6.0480051724278665
1100,0.035344190895557404,31735.381163938182,1121.6613700015077,1.0,0.0014543013759928405,0.0003,5.816644739774027
1200,0.022416120395064354,30034.243251940992,673.2512127101584,1.0,0.0012305627027631727,0.0003,5.744363315088818
1300,2.408184766769409,28844.439648573134,69462.7401676934,0.3558746736292428,0.020360219263899765,1.0000132110272907e-06,4.689746362103773
1400,1.0696663856506348,28060.21526397867,30015.069041998835,0.8903394255874674,0.02360443002572995,0.0002999839960336685,4.465913229744505
1500,0.35128432512283325,26954.44938305168,9468.675560582878,0.9926892950391645,0.027631726143863968,0.0003,4.418911989172533
1600,0.24849286675453186,25944.13082443159,6446.931444017622,0.9984334203655353,0.033337062311220494,0.0003,4.401807615103743
1700,0.09916751831769943,24910.473968565348,2470.309883580279,1.0,0.03031659022261998,0.0003,4.426094894279781
1800,0.03871879726648331,23897.872901899456,925.2968959888302,1.0,0.020360219263899765,0.0003,4.382218080983403
1900,0.027183707803487778,22933.228393384474,623.410179636413,1.0,0.01733974717529925,0.0003,4.301021909954232
2000,0.2908403277397156,22545.49717827122,6557.139788383234,0.9869451697127938,0.0911735093410896,0.0003,3.8733638245665927
2100,0.09985095262527466,21706.06670267232,2167.3714380095857,0.9994778067885117,0.11377111533728605,0.0003,3.851211581344447
2200,0.06691606342792511,20894.65941217619,1398.188354530074,1.0,0.1334601185814968,0.0003,3.7907892291369834
2300,0.05182461813092232,20120.423666556784,1042.7332731516772,1.0,0.15807137263676027,0.0003,3.7348783514047654
2400,0.042393479496240616,19381.613456549832,821.6540326743066,1.0,0.1855912294440094,0.0003,3.6625896058572467
2500,0.05956778675317764,18981.1532781031,1130.6652907994242,1.0,0.4593354961405079,0.0003,3.5612759897624695
2600,0.029414338991045952,18274.54627580909,537.5336990642049,1.0,0.49793041727262555,0.0003,3.541473612452976
2700,0.02228284813463688,17595.68350524068,392.08194337241315,1.0,0.5378677704441213,0.0003,3.5002781079014422
2800,0.01907539740204811,16945.784124525126,323.2475664646347,1.0,0.574449043517172,0.0003,3.477863315536751
2900,0.01737288013100624,16322.586737000387,283.57034280986,1.0,0.6206510795390984,0.0003,3.455388805772984
3000,0.016422275453805923,15723.819160413499,258.22088943814185,1.0,0.6645038594921132,0.0003,3.3478221418605933
3100,0.01589616946876049,15147.415125009851,240.78587784082245,1.0,0.7102584181675803,0.0003,3.3669702942361512
3200,0.015626398846507072,14591.538525390413,228.01320078192427,1.0,0.752880635417832,0.0003,3.3304432102100567
3300,0.035308998078107834,14393.811461652618,508.2310612361388,1.0,0.9801991274191744,0.0003,3.1713033104387374
3400,0.020963599905371666,13838.767754852277,290.11039039608164,1.0,0.9941827944960286,0.0003,3.0755922649102736
3500,0.017479870468378067,13306.082627269085,232.5886007661993,1.0,0.9967557892381698,0.0003,3.1883707846604565
3600,0.015839943662285805,12794.832535994186,202.66942653852934,1.0,0.9969795279113994,0.0003,3.1096853552261
3700,0.015063454397022724,12302.691778339602,185.321036563645,1.0,0.9972032665846291,0.0003,3.034433740574932
3800,0.01475675031542778,11827.903583209707,174.54141993237923,1.0,0.9965320505649401,0.0003,3.036449082881296
3900,0.02321196347475052,11624.664451819237,269.8312866618589,1.0,0.9980982212775478,0.0003,2.977668238141651
4000,0.01593073271214962,11149.729707093758,177.62336377642495,1.0,0.9996643919901554,0.0003,2.917020665063111
4100,0.014559033326804638,10692.441183735604,155.67160753890508,1.0,0.9998881306633851,0.0003,2.984161650993313
4200,0.014024189673364162,10253.326712089169,143.79459859330984,1.0,1.0,0.0003,2.907702178053162
4300,0.01390171516686678,9830.599314490446,136.662191589642,1.0,1.0,0.0003,2.8823021826617787
4400,0.013995608314871788,9422.880596554944,131.8789460271884,1.0,0.9998881306633851,0.0003,2.8099871706662025
4500,0.014181668870151043,9029.09167466374,128.0475883283187,1.0,0.9998881306633851,0.0003,2.858953400494922
4600,0.01437955442816019,8648.357690064218,124.35953011847617,1.0,0.9998881306633851,0.0003,2.8817120392779256
4700,0.014547185972332954,8279.958773241064,120.45010011758758,1.0,0.9996643919901554,0.0003,2.883737418486812
4800,0.02800164744257927,8317.342362162932,232.89928848451586,1.0,0.9983219599507774,0.0003,2.587616851316837
4900,0.019479015842080116,7947.664901049013,154.81269051507783,1.0,0.9998881306633851,0.0003,2.5706074403550265
5000,0.016971638426184654,7591.71508319139,128.8438434265366,1.0,1.0,0.0003,2.6630285049572096
5100,0.01569216325879097,7249.037260442586,113.75307615992389,1.0,1.0,0.0003,2.7054902902030955
5200,0.014967420138418674,6918.801540964784,103.55660951795846,1.0,1.0,0.0003,2.586097557948825
