step,V,C,K_est,acc_train,acc_test,gov_signal,srank
1,5.214466571807861,53900.23365089204,281060.96658520977,0.009138381201044387,0.008613938919342208,1e-06,47.41253986407735
2,4.993618965148926,53890.04583266843,269106.3549027579,0.012010443864229765,0.009732632285490548,1e-06,47.330699703014005
3,4.816396236419678,53879.78869931586,259506.4115104724,0.010182767624020888,0.007495245553193869,1e-06,46.894817327936664
4,4.762556552886963,53869.11830306519,256554.72237250613,0.010443864229765013,0.007271506879964202,1e-06,46.160001403356766
5,4.733841896057129,53858.35144092934,254956.92050364017,0.015404699738903394,0.005929074840586196,1e-06,45.32425159156034
6,4.7176408767700195,53847.543674378656,254033.37315190764,0.02010443864229765,0.005593466830741693,1e-06,44.53456828741509
7,4.708117485046387,53836.67553375196,253469.39341722662,0.0195822454308094,0.007495245553193869,1e-06,43.83920218545834
8,4.701024532318115,53825.72661280958,253036.0612766659,0.018015665796344647,0.006264682850430697,1e-06,43.22418588905114
9,4.694248199462891,53814.69528343389,252619.53643890365,0.020887728459530026,0.006600290860275198,1e-06,42.66140869027937
10,4.687317371368408,53803.628736136016,252194.6836175468,0.02454308093994778,0.006152813513815863,1e-06,42.11964149018776
100,3.071503162384033,52934.73081723135,162589.19310507362,0.2608355091383812,0.0007830853563038371,1.0000000000228626e-06,32.47653672418739
200,0.29195085167884827,47475.65036900062,13860.556559236958,0.9921671018276762,0.0013424320393780065,0.00029976860617787223,15.984512249382442
300,0.044308535754680634,43076.80421089893,1908.6701195759927,1.0,0.0012305627027631727,0.0002996595186181441,11.815341803396416
400,0.13456441462039948,41857.13921800308,5632.48143655515,1.0,0.0005593466830741693,0.00029970953884180847,7.557036028395803
500,0.04180920496582985,38976.87263243168,1629.5920568163801,1.0,0.0006712160196890032,0.00029975762687839197,7.670943216320254
600,0.8372255563735962,37239.465846157414,31177.832512104673,0.8310704960835509,0.0,0.00029981880553331874,6.974252336191663
700,0.045110851526260376,35334.94805502852,1593.9895953985144,1.0,0.0003356080098445016,0.00029984200907232734,7.086560281833576
800,0.033535927534103394,33438.357826825304,1121.3863449398325,1.0,0.0003356080098445016,0.00029987013940909916,7.042767823147628
900,0.029531316831707954,31738.643787277077,937.2839454907986,1.0,0.0003356080098445016,0.00029988756435423233,6.999215614345931
1000,3.6192779541015625,31182.441038810848,112857.92140683993,0.14046997389033944,0.0050341201476675245,1.0000000000000004e-06,5.202488437503295
1100,0.3353141248226166,31418.418894575272,10535.039634944867,0.960313315926893,0.00011186933661483388,0.0002992887946988263,5.568608563600866
1200,0.034573908895254135,29900.660133015142,1033.782699346823,1.0,0.0003356080098445016,0.0002996625040238199,5.496433204137643
1300,0.027401691302657127,28456.951700117424,779.7686059012416,1.0,0.0003356080098445016,0.00029977823282426334,5.390118993515126
1400,0.02514668181538582,27147.71292125568,682.6748988462548,1.0,0.0003356080098445016,0.0002998374859700904,5.280696353840205
1500,0.024281339719891548,25952.461646680873,630.1605378105143,1.0,0.00022373867322966775,0.00029989393775485925,5.19068031995938
1600,3.779054641723633,25818.69302309753,97570.2517121743,0.12532637075718014,0.005817205503971362,1e-06,4.574868775264531
1700,2.488579511642456,26165.244921446254,65114.29242861797,0.36161879895561355,0.008166461572882873,1.0000026337758126e-06,4.709356464418743
1800,0.055581819266080856,25742.597469576376,1430.8203999934644,1.0,0.0007830853563038371,0.00029890217091537965,4.875012333217006
