step,V,C,K_est,acc_train,acc_test,penalty
1,5.0106329917907715,54166.2789059442,271407.3441286645,0.00835509138381201,0.00839020024611254,0.0
2,4.888704299926758,54167.049547340896,264806.68803643115,0.012532637075718016,0.00894954692918671,0.0
3,4.768739700317383,54169.523027016636,258320.3550061909,0.011227154046997388,0.006600290860275198,0.0
4,4.75033712387085,54172.77429612033,257338.94084193694,0.010443864229765013,0.006376552187045531,0.0
5,4.733386516571045,54176.56052259359,256438.60109183964,0.013838120104438642,0.006152813513815863,0.0
6,4.720644474029541,54180.80009860563,255768.2945839819,0.016971279373368148,0.008837677592571876,0.0
7,4.711798667907715,54185.42335091639,255310.80556486343,0.013838120104438642,0.005705336167356527,0.0
8,4.705709934234619,54190.39388116749,255004.27482669678,0.015665796344647518,0.006264682850430697,0.0
9,4.701161861419678,54195.67650376272,254782.64743332783,0.017493472584856395,0.005593466830741693,0.0
10,4.697092533111572,54201.25492992185,254588.30981661272,0.021409921671018278,0.005929074840586196,0.0
100,2.9193685054779053,54459.49601874667,158987.3375013284,0.2655352480417755,0.00022373867322966775,0.0
200,0.2168441265821457,55299.86095861485,11991.450049684936,0.9981723237597911,0.0004474773464593355,0.9130551218986511
300,0.01972540095448494,55927.91637312459,1103.2005750087858,1.0,0.0011186933661483387,0.9920011758804321
400,0.00035624217707663774,56394.100832753466,20.089957254939524,1.0,0.010180109631949883,0.999854326248169
500,6.68004504404962e-05,56452.788335257384,3.7710716894171834,1.0,0.018010963194988253,0.9999726414680481
600,3.358237518114038e-05,56475.960835566395,1.8965969054953808,1.0,0.020136480590670098,0.9999862313270569
700,2.1218740585027263e-05,56491.098841388215,1.1986699716785507,1.0,0.02170265130327777,0.9999912977218628
800,1.4955281585571356e-05,56502.45220269567,0.8450100829666003,1.0,0.02427564604541895,0.9999938607215881
900,1.1243696462770458e-05,56511.58183551565,0.6353990727895507,1.0,0.02572994742141179,0.9999954104423523
1000,8.823154530546162e-06,56519.24769935691,0.49867805640164165,1.0,0.027184248797404633,0.9999963641166687
1100,7.142039066820871e-06,56525.868967006216,0.4037099644483559,1.0,0.028079203490323303,0.999997079372406
1200,5.917553608014714e-06,56531.71706788779,0.33452946630234637,1.0,0.029645374202930976,0.9999975562095642
1300,4.99227144246106e-06,56536.95634550214,0.28224783260731795,1.0,0.03143528358876832,0.9999979734420776
1400,4.272599653631914e-06,56541.7144303137,0.24158010949071293,1.0,0.032777715628146326,0.9999982714653015
1500,3.698592763612396e-06,56546.081673251065,0.2091409284873219,1.0,0.03412014766752433,0.9999985098838806
1600,3.238067165511893e-06,56550.118578708294,0.18311308217551941,1.0,0.035015102360443,0.9999986886978149
1700,2.855259936040966e-06,56553.884075690265,0.16147603942882358,1.0,0.036021926389976505,0.9999988079071045
1800,2.5361659936606884e-06,56557.41390467936,0.14343898983443995,1.0,0.03680501174628034,0.9999989867210388
1900,2.2650358459941344e-06,56560.73661159506,0.12811209590109562,1.0,0.038147443785658354,0.9999990463256836
2000,2.0354261778265936e-06,56563.88316837065,0.11513160852042667,1.0,0.038483051795502855,0.9999991655349731
2100,1.837377340052626e-06,56566.86661097745,0.10393467890878945,1.0,0.03926613715180669,0.9999992251396179
2200,1.6637926592011354e-06,56569.71496348921,0.09412027648935398,1.0,0.04004922250811053,0.9999993443489075
