step,V,C,K_est,acc_train,acc_test,gov_signal,srank
600,4.491824626922607,39699.391653680475,178322.70510384778,0.04386422976501306,0.004362904127978521,4.777390504702902e-05,9.180958240142132
700,2.868137836456299,37969.71003258823,108902.36198374063,0.2950391644908616,0.0050341201476675245,5.5488422122152074e-05,9.051046346298474
800,0.2703058421611786,36604.16006808306,9894.318313805776,0.9932114882506528,0.0022373867322966774,6.316559555451003e-05,8.660589497436508
900,0.025078222155570984,34608.462873814846,867.9187204123593,1.0,0.0011186933661483387,7.08001637929157e-05,8.143838210042132
1000,0.01400647684931755,32520.617733708455,455.4992794126933,1.0,0.0012305627027631727,7.838689448565368e-05,7.675588475527529
1100,0.01031075045466423,30498.827051126624,314.46579488412954,1.0,0.0012305627027631727,8.592058806647285e-05,7.246699483068358
1200,0.00857557263225317,28571.94062447392,245.0207520696011,1.0,0.0012305627027631727,9.339608131810925e-05,6.846054409619661
1300,0.019746914505958557,27654.33178814455,546.0877255399025,1.0,0.001678040049222508,0.00010080825091089747,6.540881767124043
1400,0.011086829006671906,26028.43033748993,288.5727564638224,1.0,0.001678040049222508,0.00010815201691404474,6.256706038211567
1500,0.008865977637469769,24483.504550554557,217.07020383210602,1.0,0.0014543013759928405,0.00011542234627716182,5.9909946797144205
1600,0.007923700846731663,23032.111229058588,182.49955924770936,1.0,0.001789909385837342,0.00012261425627966424,5.735241589966921
1700,0.007506729569286108,21678.087386143325,162.7315395871303,1.0,0.0019017787224521758,0.0001297228179456802,5.5088594334760765
1800,0.6424602270126343,21127.412569210057,13573.522275404275,0.8480417754569191,0.004698512137823023,0.00013674315942212444,5.074728068422573
1900,0.014698239974677563,20231.199244681055,297.3630214738376,1.0,0.003356080098445016,0.0001436704693176229,4.9597138029466095
2000,0.010897841304540634,19177.306193289667,208.99123954305506,1.0,0.003691688108289518,0.00015049999999999994,4.812998678519716
2100,0.009415049105882645,18175.92708293414,171.12724603076722,1.0,0.0038035574449043516,0.00015722707085006867,4.715072059061681
2200,0.0087027158588171,17228.59923988824,149.93560383017964,1.0,0.003915426781519186,0.00016384707146949306,4.645123896049807
2300,0.008343756198883057,16334.567784384455,136.29165120703328,1.0,0.0038035574449043516,0.00017035546484052498,4.573864406664932
2400,0.008164968341588974,15491.773997455513,126.48984424427553,1.0,0.004362904127978521,0.00017674779043544943,4.497967385360225
2500,1.6175334453582764,15038.650498272214,24325.520154009213,0.5639686684073107,0.06287056717753664,0.00018301966727360744,3.5193441652227677
2600,0.44291967153549194,14475.978005505784,6411.695423353627,0.9762402088772846,0.21579595033001453,0.00018916679692390135,3.6253762253606046
2700,0.20565934479236603,13864.244176727214,2851.311373427095,0.7075718015665796,0.16836335160532498,0.00019518496645072492,3.7044904561215573
2800,0.167915940284729,13354.791504705248,2242.4823728190927,1.0,0.34992728493120034,0.00020107005130129855,3.2064958848890783
2900,0.11344242841005325,12726.160933826939,1443.686600670479,1.0,0.35619196778163104,0.00020681801813243237,3.161406727008747
3000,0.08438678830862045,12120.601678451103,1022.818648012563,1.0,0.3786777044412127,0.00021242492757477769,3.148629618876483
3100,0.06615518778562546,11538.8054412249,763.35184078603,1.0,0.4025058731401723,0.00021788693693267398,3.1402422138540986
3200,0.05363652482628822,10980.575584886736,588.9599149657117,1.0,0.437744714173845,0.00022320030281774083,3.158595859563235
3300,0.11338701099157333,10686.364991246654,1211.6949847224487,1.0,0.7742476787112652,0.00022836138371440924,2.989381026615426
3400,0.052358053624629974,10180.233533749813,533.0172132713291,1.0,0.8259313122273185,0.00023336664247563423,3.092338207404204
3500,0.032498881220817566,9681.267513547138,314.63036298972827,1.0,0.8749300816646157,0.00023821264874707927,3.19511093039725
3600,0.023568296805024147,9196.76525491912,216.7520931740674,1.0,0.9167692135585636,0.00024289608131810924,3.1795079762581735
3700,0.019393853843212128,8729.39799488654,169.29666885205856,1.0,0.9419398142969012,0.0002474137303979827,3.1884067361239943
3800,0.017298968508839607,8280.251226357994,143.23980521004748,1.0,0.9562590893835999,0.0002517624998156818,3.194846416578491
3900,0.01620708778500557,7849.3234765622,127.21467463754868,1.0,0.966327329678935,0.00025593940914187354,3.335701246538436
4000,0.01567334309220314,7436.163556580396,116.54954271202209,1.0,0.9714733191632173,0.0002599415957315471,3.388625856513723
4100,0.015484573319554329,7040.202665838964,109.01453436370528,1.0,0.9768430473207294,0.0002637663166859276,3.626403720003696
4200,5.1122612953186035,6747.685965579398,34495.933794796096,0.011488250652741514,0.007718984226423537,0.00026741095073232196,3.2263347948998042
4300,4.715804576873779,6414.4452731494075,30249.270377224355,0.01174934725848564,0.007607114889808703,0.0002708730000206083,3.2611675595661667
4400,4.715552806854248,6071.1851236057955,28628.994050551064,0.01174934725848564,0.007607114889808703,0.00027415009183513766,3.228740725178433
4500,4.7153425216674805,5742.240615985221,27076.63134620118,0.012010443864229765,0.007830853563038372,0.0002772399802208747,3.5317871582486258
4600,4.715144634246826,5427.024114041895,25589.203631252774,0.01227154046997389,0.007830853563038372,0.0002801405475226633,3.604103798008187
4700,4.714924335479736,5125.108679741834,24164.499636093195,0.013054830287206266,0.00839020024611254,0.00028284980583656127,3.6036209113125564
4800,4.714640140533447,4836.155526534252,22800.732971261055,0.014099216710182768,0.008837677592571876,0.0002853658983722509,3.90217147803283
4900,4.714195728302002,4559.912355588337,21496.31934814606,0.014621409921671017,0.008837677592571876,0.0002876871007255897,3.868162888972283
5000,4.718728065490723,4299.366629983676,20287.54198073824,0.010704960835509139,0.007830853563038372,0.0002898118220604314,3.968871094289553
5100,4.712457656860352,4048.2670404118626,19077.287011604276,0.015404699738903394,0.009061416265801543,0.00029173860619890525,4.149809875804656
5200,4.706515312194824,3811.4994226707604,17938.880395221666,0.018015665796344647,0.007047768206734534,0.00029346613261940785,4.131601130517534
5300,4.715507507324219,3603.9613945358874,16994.507012040638,0.013315926892950391,0.006152813513815863,0.0002949932173616224,4.052343838209234
5400,4.715134143829346,3380.0737692835282,15937.501238210718,0.01174934725848564,0.007607114889808703,0.00029631881383794615,4.177260297810502
5500,4.7151384353637695,3170.1948960061636,14947.90780175271,0.01174934725848564,0.007607114889808703,0.00029744201355076926,4.102671268109846
5600,4.715077877044678,2971.916457507054,14012.8175412165,0.012793733681462142,0.00805459223626804,0.0002983620467151137,4.376904140923387
5700,4.714892864227295,2784.4523804698915,13128.394659458196,0.013577023498694517,0.008278330909497707,0.00029907828278620524,4.514569281520472
5800,4.714439868927002,2607.4533880669405,12292.682209071574,0.014099216710182768,0.008502069582727374,0.00029959023089161753,4.358864082546332
5900,4.713138580322266,2441.0650613935222,11505.07791793055,0.014360313315926894,0.00805459223626804,0.0002998975401676916,4.855003019062334
6000,4.705072402954102,2288.1353752536384,10765.842608328921,0.015665796344647518,0.006824029533504867,0.0003,5.1680125455217105
6100,4.7048659324646,2150.449673935963,10117.577410380918,0.014621409921671017,0.006824029533504867,0.0002998975401676916,4.6805561119005485
6200,4.678991317749023,2021.748788417949,9459.74502767719,0.01671018276762402,0.0064884215236603645,0.00029959023089161753,4.96255824551911
6300,4.576574802398682,1908.5432257760774,8734.590836375493,0.03237597911227154,0.006152813513815863,0.00029907828278620524,5.069530028115515
6400,4.185624599456787,1842.5223112407725,7712.106710977352,0.08015665796344648,0.010068240295335049,0.0002983620467151137,4.9421812305238415
6500,3.761117696762085,1805.6532447313564,6791.2743729749845,0.1597911227154047,0.018905917887906926,0.00029744201355076926,4.655850444868984
6600,3.576873540878296,1773.521169498185,6343.660945365589,0.20078328981723237,0.02170265130327777,0.00029631881383794615,4.948584415414381
6700,3.495880603790283,1752.2195276285565,6125.550260219243,0.21618798955613577,0.025953686094641458,0.0002949932173616224,4.498820268794036
6800,3.342963695526123,1724.4038169457508,5764.619356476319,0.21697127937336816,0.021255173956818436,0.0002934661326194079,4.570308420802611
6900,3.246396064758301,1708.0618429777305,5545.045245406715,0.22767624020887728,0.019241525897751428,0.0002917386061989053,4.5625127379737425
7000,3.2150466442108154,1692.8342810131949,5442.541174376501,0.21409921671018275,0.0204720886005146,0.0002898118220604314,5.038256863574251
7100,3.7646284103393555,1723.2137761722468,6487.259538866203,0.14203655352480418,0.021031435283588768,0.0002876871007255897,4.64960677771695
7200,3.0886802673339844,1735.564906687593,5360.605079963317,0.2689295039164491,0.020919565946973934,0.00028536589837225093,4.913938355844519
7300,2.988384246826172,1694.6291756656142,5064.203132771143,0.28903394255874676,0.018010963194988253,0.0002828498058365613,4.426159928813098
7400,2.873000144958496,1668.1311902869481,4792.541151504191,0.2671018276762402,0.009956370958720215,0.0002801405475226633,4.559662987255948
7500,2.7442805767059326,1651.591886182906,4532.4315338968645,0.3148825065274151,0.005257858820897192,0.0002772399802208747,4.217668002306481
7600,2.903458595275879,1643.1203736318844,4770.731971894408,0.1381201044386423,0.003579818771674684,0.00027415009183513766,4.217549496763166
7700,2.6154532432556152,1695.142906357513,4433.5670122145075,0.35195822454308096,0.0023492560689115116,0.0002708730000206083,3.9158490609450873
7800,2.465938091278076,1681.095643671561,4145.477782811338,0.38407310704960834,0.0013424320393780065,0.00026741095073232196,4.353100980748491
7900,2.5896310806274414,1686.4477368328655,4367.2774751561965,0.3451697127937337,0.001006824029533505,0.0002637663166859276,4.262923420510079
8000,2.302786350250244,1706.4939007169169,3929.6908613562114,0.41096605744125325,0.0005593466830741693,0.0002599415957315472,4.23477845825106
8100,2.2051923274993896,1703.3007628381743,3756.1057736345992,0.4151436031331593,0.0005593466830741693,0.0002559394091418736,3.7468697654736847
8200,2.065500020980835,1705.521204590947,3522.75408386586,0.42924281984334206,0.0004474773464593355,0.00025176249981568184,3.0777997707600324
8300,1.9426072835922241,1721.2159145329335,3343.6465722065277,0.466579634464752,0.0,0.0002474137303979827,1.9990379079620881
8400,1.8734629154205322,1747.350174412917,3273.595752016199,0.49321148825065275,0.00022373867322966775,0.00024289608131810924,1.9470665835631131
8500,1.7521703243255615,1788.9954094713903,3134.6246668304266,0.516710182767624,0.00011186933661483388,0.00023821264874707927,1.939955618196786
8600,1.6498409509658813,1829.152565805678,3017.8108086305215,0.5436031331592689,0.00011186933661483388,0.0002333666424756343,1.9329473869009475
8700,1.5699039697647095,1873.3015480242611,2940.903536809663,0.5639686684073107,0.00011186933661483388,0.0002283613837144092,1.9263749842111346
8800,1.520825743675232,1921.7212883164175,2922.6032074403406,0.49973890339425586,0.0,0.00022320030281774083,1.9189356720000514
8900,1.748761534690857,1973.1878552060807,3450.635021903546,0.42088772845953004,0.0,0.00021788693693267392,1.8883384720196608
9000,4.08005952835083,2070.17321634118,8446.429956669515,0.09451697127937336,0.006712160196890032,0.00021242492757477769,1.7150501682258736
9100,3.303004026412964,2095.0285546788364,6919.887751554329,0.21488250652741514,0.004922250811052691,0.00020681801813243237,1.7277664505454573
9200,1.9061815738677979,2119.9550498258614,4041.019253406046,0.47728459530026107,0.0003356080098445016,0.0002010700513012986,1.7992450985285577
9300,1.5919437408447266,2152.4509738208144,3426.5808552491817,0.5545691906005222,0.0,0.00019518496645072492,1.836385632956449
