step,V,C,K_est,acc_train,acc_test,penalty
1200,1.4722625564900227e-05,44831.80529084727,0.6600418826956572,1.0,0.09240407204385279,0.999995231628418
1300,1.3896514246880542e-05,43969.11745251612,0.6110174671016542,1.0,0.10001118693366148,0.9999955892562866
1400,1.3242398381407838e-05,43123.16633992879,0.571054148141054,1.0,0.10627586978409218,0.9999958872795105
1500,1.2724700354738161e-05,42293.65121186299,0.538174038578765,1.0,0.11466607003020472,0.9999961256980896
1600,4.609262466430664,42609.5284665543,196398.50027319766,0.030026109660574413,0.004474773464593355,0.0
1700,2.681872606277466,43467.224883961986,116573.55968719984,0.32845953002610967,0.004251034791363687,0.15477502346038818
1800,0.048034705221652985,43776.29357238024,2102.781357445827,1.0,0.0031323414252153485,0.9847536087036133
1900,0.01576634682714939,43006.166766737995,678.0501409506172,1.0,0.003691688108289518,0.995083749294281
2000,0.0096737677231431,42205.303059512924,408.2842984825889,1.0,0.0034679494350598502,0.9970396757125854
2100,0.007110591512173414,41408.66414828345,294.4400958232239,1.0,0.003579818771674684,0.9978651404380798
2200,0.005705215502530336,40622.0459174735,231.757526112869,1.0,0.0038035574449043516,0.9983196258544922
2300,0.004814899992197752,39847.81093402486,191.8632245553338,1.0,0.003915426781519186,0.9986088871955872
2400,0.0041974205523729324,39086.967559596786,164.06444096458563,1.0,0.004139165454748853,0.9988104104995728
2500,0.0037409565411508083,38339.975285601424,143.428181332231,1.0,0.0038035574449043516,0.9989600777626038
2600,0.0033870856277644634,37606.9890734739,127.37809219425867,1.0,0.0038035574449043516,0.9990764260292053
2700,0.003102104412391782,36887.99260556372,114.43040462599463,1.0,0.0038035574449043516,0.9991703033447266
2800,0.0028655515052378178,36182.86530037108,103.68386412529556,1.0,0.003579818771674684,0.999248206615448
2900,0.00266406312584877,35491.44489318901,94.55144962303848,1.0,0.003691688108289518,0.9993144273757935
3000,0.0024886217433959246,34813.573302889126,86.63781548687776,1.0,0.0038035574449043516,0.9993718266487122
3100,0.0023323730565607548,34149.27312485657,79.64884453754975,1.0,0.004251034791363687,0.9994224905967712
3200,0.0021917910780757666,33497.891943410796,73.42038069591388,1.0,0.004474773464593355,0.999467670917511
3300,0.002064255764707923,32859.285514425836,67.82996954733707,1.0,0.004474773464593355,0.9995082020759583
3400,0.001947311102412641,32233.31422505273,62.768290658000495,1.0,0.004810381474437857,0.9995449185371399
3500,0.0018393646460026503,31619.704110760023,58.16016585839665,1.0,0.005257858820897192,0.9995782971382141
3600,0.0017405858961865306,31018.146004453985,53.989747461207195,1.0,0.005369728157512026,0.9996085166931152
3700,2.0774431228637695,31172.620718160993,64759.34653258422,0.4342036553524804,0.03893052914196219,0.5304577350616455
3800,0.41844308376312256,31213.50826078339,13061.076651707903,0.9765013054830287,0.05090054815974941,0.905299723148346
3900,0.10764098167419434,30905.21698195825,3326.6678947919672,1.0,0.0752880635417832,0.9758797287940979
4000,0.045863132923841476,30436.10885683814,1395.8953061856764,1.0,0.1103031659022262,0.9898789525032043
4100,0.026326123625040054,29918.413545346237,787.635853659858,1.0,0.13558563597717865,0.9942891597747803
4200,0.01763031631708145,29385.743723638298,518.0799570604341,1.0,0.16567848752656897,0.9962435960769653
4300,0.012858065776526928,28850.292242901574,370.95895533125304,1.0,0.18961852556214343,0.9973103404045105
4400,0.00998732540756464,28317.550901012146,282.8165955936836,1.0,0.2160196890032442,0.9979494214057922
4500,0.008096398785710335,27790.31695096998,225.00148841633867,1.0,0.24331580713726367,0.9983686208724976
4600,0.006766242906451225,27270.04282936186,184.5157338527908,1.0,0.2705000559346683,0.9986621737480164
4700,0.005785301327705383,26757.47661014914,154.80006495874156,1.0,0.300369168810829,0.9988775849342346
4800,0.005025707185268402,26253.0222830415,131.94000272289313,1.0,0.3299026736771451,0.999043345451355
4900,0.0044147782027721405,25756.91263206373,113.71105645874135,1.0,0.35988365588992055,0.9991755485534668
5000,0.003924928139895201,25269.29728127329,99.18017597464683,1.0,0.3919901554983779,0.9992808699607849
5100,0.003530208021402359,24790.26236208604,87.51478304330513,1.0,0.418838796285938,0.9993654489517212
5200,0.0032063303515315056,24319.851437812846,77.97747780979645,1.0,0.4507215572211657,0.9994345903396606
5300,0.0029355979058891535,23858.053501923918,70.03765189883924,1.0,0.4809262781071708,0.9994921684265137
5400,0.002705337479710579,23404.8314529832,63.31796773606445,1.0,0.5128090390423985,0.9995409250259399
5500,0.0025062893982976675,22960.119644794555,57.5447044493946,1.0,0.5440205839579372,0.9995827674865723
5600,0.002331704134121537,22523.840206816094,52.51893132652599,1.0,0.575120259536861,0.99961918592453
5700,0.002176903421059251,22095.9020460826,48.10064475550731,1.0,0.6037588097102584,0.9996512532234192
5800,0.0020387473050504923,21676.207805027545,44.192310246214355,1.0,0.6347466159525674,0.9996795654296875
5900,0.0019145840778946877,21264.6533660111,40.71296675651453,1.0,0.6637207741358093,0.9997047781944275
6000,0.0018018934642896056,20861.134343707236,37.5895416315935,1.0,0.6897863295670656,0.9997274279594421
6100,0.0016984973335638642,20465.529641484085,34.76064752603295,1.0,0.7168587090278554,0.9997479915618896
6200,0.0016025840304791927,20077.71799049928,32.17623022003894,1.0,0.7424767871126524,0.9997667074203491
6300,0.001512636779807508,19697.555354104436,29.79524670091267,1.0,0.7668643024946862,0.999783992767334
6400,0.001427403767593205,19324.899346730264,27.584434135882244,1.0,0.7885669537979639,0.9998000264167786
6500,0.0013458530884236097,18959.58935209998,25.516821884767147,1.0,0.8088153037252489,0.9998149871826172
6600,0.0012671502772718668,18601.46066957852,23.570846045118145,1.0,0.8274974829399262,0.999829113483429
6700,0.0011906365398317575,18250.34273931326,21.729524929879577,1.0,0.8475220941939814,0.9998424649238586
6800,0.0011158514535054564,17906.06132927147,19.980504560825416,1.0,0.8683297908043406,0.999855101108551
6900,0.0010424599749967456,17568.42800806818,18.314383022022877,1.0,0.885557668643025,0.9998672008514404
7000,0.0009702994721010327,17237.253922811768,16.725298381775712,1.0,0.8993175970466495,0.9998787045478821
7100,0.0008994341478683054,16912.35050664324,15.211545566392767,1.0,0.9154267815191856,0.9998897314071655
7200,0.0008302769274450839,16593.528911941452,13.777224200477914,1.0,0.9285154939031212,0.9999001026153564
7300,0.0007638663519173861,16280.61222791759,12.436211869520998,1.0,0.9410448596039825,0.9999098181724548
7400,0.0007019793265499175,15973.443474624946,11.213027093000393,1.0,0.9533504866316143,0.9999186992645264
7500,0.0006465003825724125,15671.901095575362,10.131890053926481,1.0,0.9646492896297125,0.9999265670776367
7600,0.04155454412102699,16787.856143298093,697.6117088041347,0.9992167101827676,0.9658798523324756,0.9949418902397156
7700,0.005673973821103573,16536.056191620184,93.82514993555057,1.0,0.9910504530708133,0.9993197321891785
7800,0.004144097678363323,16216.409756439505,67.2023860230493,1.0,0.991945407763732,0.9995127320289612
7900,0.003404963994398713,15902.220152516384,54.1464870503199,1.0,0.9933997091397248,0.9996073842048645
8000,0.0029527805745601654,15593.842968373792,46.04519659975576,1.0,0.993959055822799,0.999666154384613
8100,0.0026417553890496492,15291.371241329703,40.39606238274157,1.0,0.9942946638326434,0.9997071027755737
8200,0.002411777386441827,14994.805517340777,36.16413286081563,1.0,0.994630271842488,0.9997377991676331
8300,0.002233225852251053,14704.096718378365,32.83756892548244,1.0,0.9948540105157176,0.9997618794441223
8400,0.0020898745860904455,14419.174751792336,30.13426686616781,1.0,0.995301487862177,0.9997814893722534
8500,0.0019722762517631054,14139.953927368857,27.88789533197405,1.0,0.9958608345452511,0.9997978210449219
8600,0.0018746400019153953,13866.344716555439,25.99440448600302,1.0,0.996643919901555,0.9998115301132202
8700,0.0017932740738615394,13598.257470054086,24.385402570742002,1.0,0.996643919901555,0.9998232126235962
8800,0.001725538750179112,13335.603292495245,23.011100238216695,1.0,0.9967557892381698,0.9998331665992737
8900,0.0016691935015842319,13078.299330393085,21.83021225406555,1.0,0.997315135921244,0.9998416900634766
9000,0.0016222069971263409,12826.268913181266,20.806863177986717,1.0,0.9975388745944737,0.9998491406440735
9100,0.0015825082082301378,12579.438310757978,19.907064381699158,1.0,0.9976507439310884,0.999855637550354
9200,0.0015481094596907496,12337.73902519606,19.10017049610175,1.0,0.9977626132677033,0.9998615384101868
9300,0.0015171861741691828,12101.105060236761,18.35962928955995,1.0,0.9980982212775478,0.9998669028282166
9400,0.0014880865346640348,11869.463054187596,17.66278814462881,1.0,0.998657567960622,0.9998719096183777
9500,0.0014594680396839976,11642.7431424479,16.992211510652744,1.0,0.9988813066338517,0.9998767971992493
9600,0.001430378295481205,11420.869363126345,16.336163652542176,1.0,0.9991050453070813,0.9998815655708313
9700,0.0014001044910401106,11203.761063069804,15.686436180944355,1.0,0.9991050453070813,0.9998862743377686
9800,0.001368293073028326,10991.33819760126,15.03937191908945,1.0,0.9992169146436961,0.9998909831047058
9900,0.0013347509084269404,10783.517714854795,14.393310065940444,1.0,0.9995525226535407,0.9998956322669983
10000,0.0012995521537959576,10580.214363309555,13.749540363461858,1.0,0.9998881306633851,0.9999002814292908
10100,0.0012627920368686318,10381.3347211699,13.109466817961188,1.0,1.0,0.9999049305915833
10200,0.0012246216647326946,10186.781706509879,12.474953571694687,1.0,1.0,0.999909520149231
10300,0.0011852114694193006,9996.454533725511,11.847912566900042,1.0,1.0,0.9999141097068787
10400,0.001144680310972035,9810.253835070413,11.229604410642999,1.0,1.0,0.9999185800552368
10500,0.001103149726986885,9628.083521755878,10.621217708431924,1.0,1.0,0.9999229907989502
10600,0.0010607163421809673,9449.84176203236,10.023601588011912,1.0,1.0,0.9999273419380188
10700,0.001017558271996677,9275.427091954974,9.438287563720866,1.0,1.0,0.9999315738677979
10800,0.0009739122469909489,9104.733639321756,8.86721159692593,1.0,1.0,0.9999356865882874
10900,0.0009300857782363892,8937.655784994364,8.312786536395448,1.0,1.0,0.9999397397041321
11000,0.0008864268311299384,8774.086253691232,7.777585473920271,1.0,1.0,0.9999436140060425
11100,1.277201771736145,9551.075611372013,12198.650692830219,0.7326370757180156,0.6764738785099005,0.9115527868270874
11200,0.0033340980298817158,10056.785157489125,33.530307580528174,1.0,0.9994406533169258,0.9997568726539612
11300,0.0025506080128252506,9861.616950411815,25.15311921313369,1.0,0.9998881306633851,0.9998176097869873
11400,0.0022724256850779057,9669.889392106328,21.974105026484796,1.0,1.0,0.9998406767845154
11500,0.0021396789234131575,9481.925754538737,20.288276690354937,1.0,1.0,0.9998528957366943
11600,0.0020714071579277515,9297.79537992226,19.259519902918548,1.0,1.0,0.9998603463172913
11700,0.00203704577870667,9117.516011971049,18.572797504476096,1.0,1.0,0.9998653531074524
11800,0.0020220542792230844,8941.085464000702,18.079360123381935,1.0,1.0,0.9998689293861389
11900,0.0020183955784887075,8768.494099646341,17.698289720730497,1.0,1.0,0.9998716711997986
12000,0.0020210554357618093,8599.727781516965,17.380526578906707,1.0,1.0,0.9998739957809448
12100,0.002026440342888236,8434.766133118887,17.092550374979517,1.0,1.0,0.999876081943512
12200,0.0020315966103225946,8273.57647874998,16.808569929473208,1.0,1.0,0.9998781085014343
12300,0.0020340713672339916,8116.113419672009,16.50875392017839,1.0,1.0,0.999880313873291
12400,0.0020319479517638683,7962.318293289049,16.179016347340664,1.0,1.0,0.999882698059082
12500,0.002023882232606411,7812.118587176083,15.810808007599972,1.0,1.0,0.9998853802680969
12600,0.0020090679172426462,7665.427432230907,15.400364326046793,1.0,1.0,0.9998883605003357
12700,0.001987144351005554,7522.140169327613,14.94757834495133,1.0,1.0,0.9998916387557983
12800,0.00195812969468534,7382.137710250681,14.455183060698301,1.0,1.0,0.9998952150344849
12900,0.0019223397830501199,7245.287111081416,13.927903653252079,1.0,1.0,0.9998990297317505
13000,0.0018803105922415853,7111.4611981485505,13.371755817193755,1.0,0.9998881306633851,0.9999030232429504
13100,0.0018327366560697556,6980.552930250298,12.793515234904865,1.0,0.9998881306633851,0.9999072551727295
13200,0.0017804073868319392,6852.487263318151,12.200218941783417,1.0,0.9998881306633851,0.9999115467071533
13300,0.0017241635359823704,6727.211650121259,11.598813025974867,1.0,0.9998881306633851,0.9999158978462219
13400,0.0016648395685479045,6604.684384705033,10.99573990142741,1.0,0.9998881306633851,0.9999202489852905
13500,0.0016032359562814236,6484.854976536706,10.396752669654175,1.0,0.9998881306633851,0.9999246001243591
13600,0.0015400841366499662,6367.666662435047,9.806742414291051,1.0,0.9998881306633851,0.999928891658783
13700,0.0014760417398065329,6253.054959903238,9.229770122121446,1.0,0.9998881306633851,0.9999330639839172
13800,0.0014116492820903659,6140.952129550278,8.668870665030953,1.0,0.9998881306633851,0.999937117099762
13900,0.0013473964063450694,6031.2882529664785,8.126536117678265,1.0,0.9998881306633851,0.9999410510063171
14000,0.001283672172576189,5923.993141904939,7.604465146795557,1.0,0.9998881306633851,0.9999448657035828
14100,0.0012208226835355163,5818.99755780003,7.103964214000048,1.0,0.9998881306633851,0.9999485015869141
14200,0.0011591657530516386,5716.2325275260955,6.626060982388058,1.0,0.9998881306633851,0.999951958656311
14300,0.0010989804286509752,5615.629189348314,6.171466573654938,1.0,0.9998881306633851,0.9999552369117737
14400,0.001040527131408453,5517.121649384499,5.740714763465525,1.0,0.9998881306633851,0.9999583959579468
14500,0.0009840328712016344,5420.6443914214615,5.334092264253497,1.0,0.9998881306633851,0.9999613165855408
14600,0.0009296908974647522,5326.134540263331,4.951658800755431,1.0,0.9998881306633851,0.9999641180038452
14700,0.0008776484755799174,5233.532617334044,4.593201923500999,1.0,0.9998881306633851,0.9999666810035706
14800,0.0008279955945909023,5142.7821390780155,4.258200955097374,1.0,0.9998881306633851,0.9999691247940063
14900,0.0007807606016285717,5053.832441706909,3.94583325771708,1.0,0.9998881306633851,0.9999713897705078
15000,0.0007359326700679958,4966.636151552666,3.6551098042683883,1.0,1.0,0.999973475933075
15100,0.0006934495759196579,4881.151332409354,3.3848323214589398,1.0,1.0,0.9999754428863525
15200,0.010972728952765465,7666.0068280193955,84.11701507390616,1.0,0.9978744826043181,0.9993901252746582
15300,0.0026758245658129454,7563.83908858709,20.239506445097536,1.0,0.9998881306633851,0.999853253364563
15400,0.002161059295758605,7419.636736148968,16.034274939806764,1.0,0.9998881306633851,0.999883770942688
15500,0.0019193819025531411,7277.676502933726,13.968640572367224,1.0,0.9998881306633851,0.9998987317085266
15600,0.0017791260033845901,7138.293016158976,12.69992272482705,1.0,1.0,0.999907910823822
15700,0.0016895608277991414,7001.606239542365,11.829639634004831,1.0,1.0,0.9999142289161682
15800,0.0016296058893203735,6867.666482226923,11.191589745325127,1.0,1.0,0.9999188780784607
15900,0.0015886279288679361,6736.495132046752,10.701784309452366,1.0,1.0,0.9999223947525024
16000,0.0015603725332766771,6608.096451951191,10.311092200867702,1.0,1.0,0.9999252557754517
16100,0.0015406691236421466,6482.464289047755,9.987332575248717,1.0,1.0,0.9999275803565979
16200,0.0015264711109921336,6359.583548428491,9.707720564616933,1.0,1.0,0.9999296069145203
16300,0.0015154010616242886,6239.4330038251355,9.455243397930234,1.0,1.0,0.9999314546585083
16400,0.0015055768890306354,6121.984062762,9.217117719908341,1.0,1.0,0.9999331831932068
16500,0.0014954846119508147,6007.202174014412,8.983678412116033,1.0,1.0,0.9999348521232605
16600,0.001483909785747528,5895.046959969215,8.747717871339535,1.0,1.0,0.999936580657959
16700,0.0014699207386001945,5785.473013794981,8.504186765589012,1.0,1.0,0.9999383687973022
16800,0.0014528229366987944,5678.429709240794,8.249752926016892,1.0,1.0,0.9999401569366455
16900,0.0014321805210784078,5573.861364860088,7.982775673944126,1.0,1.0,0.9999421238899231
17000,0.0014077734667807817,5471.709590762854,7.702927579805875,1.0,1.0,0.9999441504478455
17100,0.0013795921113342047,5371.913400324993,7.411049349858864,1.0,1.0,0.9999462366104126
17200,0.001347827143035829,5274.41062722262,7.108993806887279,1.0,1.0,0.9999484419822693
17300,0.0013127931160852313,5179.138620053418,6.799137527657291,1.0,1.0,0.9999507069587708
17400,0.0012749258894473314,5086.035022692755,6.484317725066839,1.0,1.0,0.9999529719352722
17500,0.001234704745002091,4995.038414703682,6.167397632102358,1.0,1.0,0.9999552965164185
17600,0.0011926329461857677,4906.089327603579,5.851163769030408,1.0,1.0,0.9999575614929199
17700,0.0011492008343338966,4819.12982183788,5.538148012019454,1.0,1.0,0.9999598264694214
17800,0.0011048662709072232,4734.10395619832,5.23055178417197,1.0,1.0,0.9999620914459229
17900,0.0010600391542539,4650.958256185055,4.9301978563566,1.0,1.0,0.9999642372131348
