step,loss_V,weight_norm_sq_C,K_est,lr,cond
1230,3.3607254028320312,9134020.29659591,30696934.04075324,0.00019579887134286108,heated
1240,3.5632498264312744,9130508.806632608,32534283.920462865,0.00019250068783074426,heated
1250,3.9102697372436523,9127076.477104222,35689330.93792905,0.00018922285978944148,heated
1260,3.3829004764556885,9123670.05149102,30864467.76421347,0.0001859661959739748,heated
1270,3.6418817043304443,9120353.306067225,33215247.842395905,0.00018273149991741012,heated
1280,3.6960883140563965,9117071.251485033,33697500.511033356,0.00017951956973259753,heated
1290,3.6708240509033203,9113835.326154014,33455285.91121846,0.00017633119791524927,heated
1300,3.557323455810547,9110611.147536164,32409390.73189944,0.0001731671711484023,heated
1310,3.642216920852661,9107465.783889566,33171365.984169222,0.00017002827010831716,heated
1320,3.6446921825408936,9104450.962784115,33182921.250386175,0.00016691526927185713,heated
1330,3.914344310760498,9101503.322408957,35626417.74943928,0.00016382893672539767,heated
1340,4.019915580749512,9098602.42434059,36575613.648652025,0.00016077003397531287,heated
1350,3.8081042766571045,9095717.329732025,34637440.06261666,0.00015773931576008502,heated
1360,3.6782548427581787,9092860.825345129,33445859.36535185,0.00015473752986408412,heated
1370,3.654066324234009,9090063.523499811,33215695.006368596,0.0001517654169330632,heated
1380,3.667720317840576,9087324.416674696,33329764.397846542,0.00014882371029141555,heated
1390,3.474144697189331,9084683.06309224,31561503.489287633,0.00014591313576123712,heated
1400,3.670348644256592,9082084.296146095,33334415.783383902,0.0001430344114832412,heated
1410,3.555072546005249,9079542.35072607,32278431.741358213,0.00014018824773956846,heated
1420,3.7660913467407227,9077090.482380632,34185151.919276275,0.00013737534677853437,heated
1430,3.544396162033081,9074626.508683426,32164071.369261194,0.0001345964026413608,heated
1440,3.7084102630615234,9072191.68735457,33643408.76184713,0.00013185210099093148,heated
1450,3.5296480655670166,9069833.224988053,32013319.297594536,0.00012914311894261446,heated
1460,3.438141345977783,9067491.78194242,31175318.399809998,0.0001264701248971951,heated
1470,3.318444013595581,9065198.327809988,30082353.122977726,0.00012383377837595712,heated
1480,3.5664188861846924,9062972.32572327,32322355.667428676,0.00012123472985795604,heated
1490,3.712489366531372,9060799.719982449,33638122.612705275,0.00011867362061952349,heated
1500,3.6320905685424805,9058684.960142475,32901964.2071311,0.00011615108257604131,heated
1510,3.527740001678467,9056622.294414366,31949408.748098575,0.00011366773812602597,heated
1520,3.6009814739227295,9054583.76067432,32605388.376269825,0.00011122419999756166,heated
1530,3.333472967147827,9052616.545468384,30176652.53627401,0.00010882107109711797,heated
1540,3.6787595748901367,9050678.140505115,33295268.86863205,0.00010645894436079245,heated
1550,3.7280020713806152,9048786.117248917,33733893.388584115,0.00010413840260801203,heated
1560,3.605780839920044,9046910.483500706,32621176.481878627,0.00010186001839773099,heated
1570,3.477522373199463,9045059.911869641,31454398.21045624,9.962435388716117e-05,heated
1580,3.8743999004364014,9043279.629822945,35037281.697404556,9.743196069306763e-05,heated
1590,3.508291721343994,9041564.02401334,31720444.213447694,9.528337975566539e-05,heated
1600,3.463247776031494,9039864.154666372,31307289.429275133,9.3179141205151e-05,heated
1610,3.4608335494995117,9038188.757093076,31279666.877257008,9.111976423090036e-05,heated
1620,3.557643413543701,9036524.939665375,32148733.432923913,8.910575695336661e-05,heated
1630,3.3575618267059326,9034922.475138722,30335310.809773255,8.71376162987094e-05,heated
1640,3.87501859664917,9033375.18336199,35004496.82603682,8.521582787618525e-05,heated
1650,3.8274476528167725,9031855.279508414,34568953.29013525,8.334086585833117e-05,heated
1660,3.402822494506836,9030351.361547124,30728682.746372987,8.151319286396939e-05,heated
1670,3.8357815742492676,9028877.33073314,34632801.30138309,7.973325984406311e-05,heated
1680,3.640272855758667,9027455.849772109,32862402.4864852,7.800150597045145e-05,heated
1690,3.3438591957092285,9026078.123631105,30181934.334893767,7.631835852748981e-05,heated
1700,3.7277657985687256,9024730.811957303,33642082.8621038,7.468423280662423e-05,heated
1710,3.783806562423706,9023401.658368183,34142806.41031849,7.30995320039245e-05,heated
1720,3.2372665405273438,9022096.47344686,29206931.03889927,7.156464712060123e-05,heated
1730,3.4988090991973877,9020811.744768394,31562098.21474232,7.007995686653245e-05,heated
1740,3.384939193725586,9019577.322855344,30530720.790971547,6.864582756682242e-05,heated
1750,3.4644381999969482,9018384.740445845,31243636.597070146,6.726261307141649e-05,heated
1760,3.522059440612793,9017192.51814026,31759088.036338948,6.593065466779398e-05,heated
1770,3.6312854290008545,9016024.749703266,32739759.301108547,6.465028099676039e-05,heated
1780,3.7029225826263428,9014873.379716845,33381378.217270568,6.342180797136043e-05,heated
1790,3.495666742324829,9013733.442433741,31509008.218896724,6.224553869893115e-05,heated
1800,3.4083092212677,9012629.638679717,30717828.70538266,6.112176340631455e-05,heated
1810,3.6847879886627197,9011551.587528298,33205657.048938736,6.005075936824865e-05,heated
1820,3.6733176708221436,9010460.986355148,33098285.56343189,5.903279083895412e-05,heated
1830,3.628605604171753,9009379.69894718,32691485.66571096,5.8068108986933357e-05,heated
1840,3.5230305194854736,9008325.493858453,31736605.64432238,5.7156951832998514e-05,heated
1850,3.594683885574341,9007307.915040625,32378424.61460275,5.629954419154343e-05,heated
1860,3.6668543815612793,9006294.866367714,33024771.79237331,5.549609761507383e-05,heated
1870,3.6286025047302246,9005280.146726307,32676582.096208442,5.4746810342010365e-05,heated
1880,3.4133212566375732,9004272.925282806,30734476.176433984,5.4051867247775785e-05,heated
1890,3.656489133834839,9003296.87761093,32920457.201673497,5.341143979917992e-05,heated
1900,3.446364164352417,9002343.906719653,31025355.43529495,5.2825686012112815e-05,heated
1910,3.386059284210205,9001395.02363998,30479257.190639693,5.2294750412556615e-05,heated
1920,3.7090773582458496,9000468.978392687,33383435.701350465,5.181876400092592e-05,heated
1930,3.4050304889678955,8999552.727648498,30643751.424717326,5.139784421974547e-05,heated
1940,3.30121111869812,8998621.273042915,29706348.599522706,5.1032094924672915e-05,heated
1950,3.5908944606781006,8997700.9555988,32309794.52029778,5.072160635887402e-05,heated
1960,3.463763475418091,8996787.749573054,31162744.803060066,5.0466455130756414e-05,heated
1970,3.665198802947998,8995880.047686318,32971688.782243673,5.026670419506776e-05,heated
1980,3.242417335510254,8994960.934216278,29165417.265340365,5.0122402837362465e-05,heated
1990,3.438369035720825,8994023.989584047,30924773.59231607,5.003358666184135e-05,heated
2000,3.266462802886963,8993119.535900855,29375690.44593621,5.0000277582566717e-05,heated
