step,loss_V,weight_norm_sq_C,K_est,lr,cond
700,4.0250139236450195,9966911.73312157,40116958.501555234,0.00037746264399150206,baseline
710,4.189802169799805,9966329.019074894,41756946.94905875,0.0003743035801115231,baseline
720,4.048611640930176,9965781.984546963,40347580.953609064,0.00037112001455906306,baseline
730,3.959186553955078,9965231.364350023,39454210.024786025,0.0003679127328312853,baseline
740,3.876729965209961,9964692.003699554,38630420.08483015,0.0003646825262769644,baseline
750,4.1757988929748535,9964198.94906989,41608490.94090724,0.0003614301919012331,baseline
760,3.6248998641967773,9963645.928698545,36117218.77384413,0.00035815653216893294,baseline
770,3.940079689025879,9963054.590098653,39255229.03110375,0.00035486235480661796,baseline
780,4.13084077835083,9962484.312740143,41153436.45274743,0.0003515484726032605,baseline
790,3.8860652446746826,9961965.91643259,38712849.51648246,0.00034821570320970756,baseline
800,3.777759075164795,9961453.654018365,37631971.94330139,0.0003448648689369378,baseline
810,3.7670435905456543,9960852.453957215,37522965.39305048,0.00034149679655316826,baseline
820,4.0416789054870605,9960249.313347507,40256129.5431486,0.00033811231707986215,baseline
830,3.638138771057129,9959706.583042216,36234794.668118805,0.00033471226558668646,baseline
840,4.087388038635254,9959279.987750769,40707441.89535195,0.00033129748098547105,baseline
850,3.8176817893981934,9958827.447793659,38019634.19120074,0.0003278688058232198,baseline
860,3.6502580642700195,9958326.491922814,36350461.58377503,0.0003244270860742246,baseline
870,4.017997741699219,9957862.863322392,40010670.496979885,0.0003209731709313339,baseline
880,3.952328681945801,9957406.123000903,39354941.817719206,0.0003175079125964273,baseline
890,3.7149860858917236,9956951.55783831,36989936.49526724,0.000314032166070147,baseline
900,3.8124427795410156,9956435.603115795,37958341.02506391,0.00031054678894093974,baseline
910,3.853682041168213,9955845.304024529,38366662.25276821,0.00030705264117345936,baseline
920,3.8377161026000977,9955312.401091892,38205662.7080848,0.00030355058489638337,baseline
930,3.9238812923431396,9954905.74063638,39061868.40272242,0.0003000414841896958,baseline
940,3.795135974884033,9954400.403207274,37778303.07861205,0.0002965262048714882,baseline
950,3.6253957748413086,9953950.901133575,36087011.539947495,0.00029300561428433205,baseline
960,3.6079659461975098,9953548.54015377,35912064.17669874,0.00028948058108127495,baseline
970,3.6493632793426514,9953137.224094864,36322613.49987025,0.00028595197501151375,baseline
980,3.6741905212402344,9952691.824841881,36568085.96365921,0.0002824206667057963,baseline
990,3.5221951007843018,9952214.405949822,35053640.82259141,0.00027888752746160707,baseline
1000,3.8414194583892822,9951700.539794233,38228656.09762869,0.000275353429028187,baseline
1010,3.862840175628662,9951202.7272945,38439905.69081871,0.00027181924339144266,baseline
1020,3.594585418701172,9950631.959916115,35768396.54997633,0.00026828584255879676,baseline
1030,3.8613405227661133,9950107.867109494,38420754.71316379,0.00026475409834403357,baseline
1040,3.9104115962982178,9949602.708089583,38907041.80827366,0.0002612248821521911,baseline
1050,3.8399505615234375,9949180.400009938,38204360.86371614,0.00025769906476455615,baseline
1060,3.84285569190979,9948757.49210623,38231639.3559706,0.000254177516123811,baseline
1070,3.8711647987365723,9948350.603095641,38511704.66019359,0.0002506611051193889,baseline
1080,3.6781504154205322,9948008.286684928,36590270.812277064,0.0002471506993730878,baseline
1090,3.436723470687866,9947624.323121497,34187233.98885715,0.0002436471650249984,baseline
1100,3.4994497299194336,9947184.716228196,34809672.86866348,0.00024015136651979653,baseline
1110,3.514822244644165,9946727.715191385,34960979.83477331,0.0002366641663934546,baseline
1120,3.7932446002960205,9946289.024055758,37728707.13348308,0.0002331864250604237,baseline
1130,3.932438850402832,9945870.305835128,39111526.79173395,0.00022971900060133916,baseline
1140,3.791840076446533,9945458.966107156,37711589.88633962,0.00022626274855130218,baseline
1150,3.700996160507202,9944961.932599122,36806265.92893963,0.00022281852168878902,baseline
1160,3.869452476501465,9944536.120854769,38479909.92049976,0.00021938716982524082,baseline
1170,3.9001948833465576,9944156.51915233,38784148.375195235,0.00021596953959538567,baseline
1180,3.898939371109009,9943858.77839033,38770502.49181399,0.0002125664742483437,baseline
1190,3.6719305515289307,9943554.220552713,36512040.53323195,0.0002091788134395679,baseline
1200,3.6956331729888916,9943227.341398137,36746520.8094411,0.00020580739302367235,baseline
1210,3.682335615158081,9942895.610941343,36613078.62596828,0.00020245304484819705,baseline
1220,3.3566484451293945,9942539.86480327,33373610.977828916,0.0001991165965483621,baseline
1230,3.654142141342163,9942142.538740223,36330002.02604121,0.00019579887134286108,baseline
1240,3.890305519104004,9941747.071205823,38676433.50064808,0.00019250068783074426,baseline
1250,3.41253662109375,9941401.502518117,33925396.6923395,0.00018922285978944148,baseline
1260,3.751282215118408,9941083.193338413,37291808.5821829,0.0001859661959739748,baseline
1270,3.9701361656188965,9940727.6312094,39466042.2812315,0.00018273149991741012,baseline
1280,3.7970213890075684,9940459.788955107,37744138.4352322,0.00017951956973259753,baseline
1290,3.530355930328369,9940197.277990075,35092434.40898617,0.00017633119791524927,baseline
1300,3.56510329246521,9939899.916146979,35436769.91783026,0.0001731671711484023,baseline
1310,3.886117458343506,9939535.618901763,38626202.896441266,0.00017002827010831716,baseline
1320,3.798370599746704,9939117.039151745,37752449.9489555,0.00016691526927185713,baseline
1330,3.7097814083099365,9938748.552373003,36870584.601460665,0.00016382893672539767,baseline
1340,4.0162553787231445,9938453.740523119,39915368.29156713,0.00016077003397531287,baseline
1350,3.4257655143737793,9938180.924648095,34045877.487266764,0.00015773931576008502,baseline
1360,3.634218692779541,9937927.672528155,36116602.5149929,0.00015473752986408412,baseline
1370,3.7842490673065186,9937660.868943525,37606583.87450802,0.0001517654169330632,baseline
1380,3.748615026473999,9937426.390192894,37251585.890756354,0.00014882371029141555,baseline
1390,3.577321767807007,9937139.256046882,35548344.57038604,0.00014591313576123712,baseline
