step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
2400,5.239509482635185e-05,17197.537109375,0.901066587625408,1.0,0.0,0.0,0.0
2500,4.7798417654121295e-05,17214.67578125,0.8228342627724743,1.0,0.0,0.0,0.0
2600,4.3710148020181805e-05,17231.23046875,0.7531796343589292,1.0,0.0,0.0,0.0
2700,4.006734525319189e-05,17247.24609375,0.6910513639050464,1.0,0.0,0.0,0.0
2800,3.6802797694690526e-05,17262.76953125,0.6353182147086613,1.0,0.0,0.0,0.0
2900,3.387114338693209e-05,17277.841796875,0.5852202569186815,1.0,0.0,0.0,0.0
3000,3.122841735603288e-05,17292.494140625,0.5400172241501906,1.0,0.0,0.0,0.0
3100,2.8839462174801156e-05,17306.759765625,0.4991176436291127,1.0,0.0,0.0,0.0
3200,2.6671617888496257e-05,17320.66796875,0.46197023763601663,1.0,0.0,0.0,0.0
3300,2.4706254407647066e-05,17334.236328125,0.42826405268493417,1.0,0.0,0.0,0.0
3400,2.2910522602614947e-05,17347.5,0.3974402908488628,1.0,0.0,0.0,0.0
3500,2.1276448023854755e-05,17360.46875,0.3693691110291297,1.0,0.0,0.0,0.0
3600,1.977649844775442e-05,17373.16796875,0.3435804293665612,1.0,0.0,0.0,0.0
3700,1.8406806702842005e-05,17385.615234375,0.3200136590291258,1.0,0.0,0.0,0.0
3800,1.71468491316773e-05,17397.828125,0.29831793407822715,1.0,0.0,0.0,0.0
3900,1.5987467122613452e-05,17409.8203125,0.2783389298567016,1.0,0.0,0.0,0.0
4000,1.4918941815267317e-05,17421.60546875,0.25991191831682414,1.0,0.0,0.0,0.0
4100,1.3933635273133405e-05,17433.197265625,0.24290781234380532,1.0,0.0,0.0,0.0
4200,1.302366035815794e-05,17444.6015625,0.2271925658333913,1.0,0.0,0.0,0.0
4300,1.2181887541373726e-05,17455.833984375,0.2126450065385459,1.0,0.0,0.0,0.0
4400,1.1401572010072414e-05,17466.90234375,0.19915014486516824,1.0,0.0,0.0,0.0
4500,1.0678088074200787e-05,17477.81640625,0.18662966293064898,1.0,0.0,0.0,0.0
4600,1.0007159289671108e-05,17488.58203125,0.17501102613719866,1.0,0.0,0.0,0.0
4700,9.382765711052343e-06,17499.212890625,0.1641910146805614,1.0,0.0,0.0,0.0
4800,8.803388482192531e-06,17509.70703125,0.15414475320547183,1.0,0.0,0.0,0.0
4900,8.26142422738485e-06,17520.07421875,0.14474076561636195,1.0,0.0,0.0,0.0
5000,7.758994797768537e-06,17530.322265625,0.13601767926219033,1.0,0.0,0.0,0.0
5100,7.289541827049106e-06,17540.451171875,0.12786185248269533,1.0,0.0,0.0,0.0
5200,6.851325451862067e-06,17550.478515625,0.12024404014645995,1.0,0.0,0.0,0.0
5300,6.443520760512911e-06,17560.40234375,0.1131508170649127,1.0,0.0,0.0,0.0
