step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
1,4.082296848297119,3836.598876953125,15662.135503566009,0.023706896230578423,0.01914791762828827,0.0,0.0
2,4.071246147155762,3836.259521484375,15618.356796332868,0.03304597735404968,0.015318334102630615,0.0,0.0
3,4.061063289642334,3836.27978515625,15579.375004295027,0.04094827547669411,0.012924844399094582,0.0,0.0
4,4.051426887512207,3836.642333984375,15543.875909671886,0.04597701132297516,0.011967448517680168,0.0,0.0
5,4.042057991027832,3837.358642578125,15510.826165672624,0.04813218489289284,0.010531354695558548,0.0,0.0
6,4.032818794250488,3838.444091796875,15479.749474078184,0.05100574716925621,0.009573958814144135,0.0,0.0
7,4.0235748291015625,3839.8916015625,15450.091194525361,0.05316092073917389,0.007180469110608101,0.0,0.0
8,4.014233589172363,3841.670166015625,15421.361418941291,0.056752871721982956,0.007180469110608101,0.0,0.0
9,4.004756450653076,3843.763427734375,15393.336382003617,0.05747126415371895,0.006701771169900894,0.0,0.0
10,3.995061159133911,3846.153076171875,15365.616766697669,0.06034482643008232,0.007180469110608101,0.0,0.0
11,3.9851133823394775,3848.832275390625,15338.033007039281,0.0625,0.007659167051315308,0.0,0.0
12,3.974911689758301,3851.79638671875,15310.550484137144,0.0625,0.0062230732291936874,0.0,0.0
13,3.9643912315368652,3855.03564453125,15282.869506441755,0.06681034713983536,0.005744375288486481,0.0,0.0
14,3.953552484512329,3858.549072265625,15254.976271268504,0.07183907926082611,0.004786979407072067,0.0,0.0
15,3.942377805709839,3862.321533203125,15226.730691015196,0.07471264153718948,0.003350885584950447,0.0,0.0
16,3.9308249950408936,3866.34716796875,15197.934087357135,0.07830459624528885,0.003350885584950447,0.0,0.0
17,3.918851613998413,3870.625244140625,15168.40598518349,0.07830459624528885,0.0028721876442432404,0.0,0.0
18,3.9064009189605713,3875.14794921875,15137.881509936298,0.0840517207980156,0.0028721876442432404,0.0,0.0
19,3.893444299697876,3879.912841796875,15106.22453721863,0.09051723778247833,0.003350885584950447,0.0,0.0
20,3.8799378871917725,3884.91552734375,15073.23094308062,0.09482758492231369,0.0028721876442432404,0.0,0.0
100,0.812126100063324,4809.00244140625,3905.5163979342615,0.9533045887947083,0.0,0.0,0.0
200,0.019897298887372017,5476.8388671875,108.97429989840566,1.0,0.0,0.0,0.0
300,0.007355932611972094,5609.9912109375,41.26671730141197,1.0,0.0,0.0,0.0
400,0.00399169372394681,5685.6337890625,22.6953087124607,1.0,0.0,0.0,0.0
500,0.0025473700370639563,5737.845703125,14.616416221436793,1.0,0.0,0.0,0.0
600,0.0017830128781497478,5777.0283203125,10.300515892552994,1.0,0.0,0.0,0.0
700,0.0013252426870167255,5807.8642578125,7.696829634851838,1.0,0.0,0.0,0.0
800,0.001027730293571949,5832.9130859375,5.99466147819021,1.0,0.0,0.0,0.0
900,0.0008225350175052881,5853.7333984375,4.814900703355079,1.0,0.0,0.0,0.0
1000,0.0006744559505023062,5871.33251953125,3.9599551551755496,1.0,0.0,0.0,0.0
1100,0.0005638202419504523,5886.38623046875,3.3188637086767017,1.0,0.0,0.0,0.0
1200,0.0004787533252965659,5899.3876953125,2.8243514763445035,1.0,0.0,0.0,0.0
1300,0.0004117595381103456,5910.70654296875,2.43378979603861,1.0,0.0,0.0,0.0
1400,0.0003580517659429461,5920.62744140625,2.1198911108857743,1.0,0.0,0.0,0.0
1500,0.0003142548957839608,5929.3662109375,1.8633323606831027,1.0,0.0,0.0,0.0
1600,0.00027800281532108784,5937.103515625,1.6505314921964782,1.0,0.0,0.0,0.0
1700,0.0002476279332768172,5943.978515625,1.4718951152660225,1.0,0.0,0.0,0.0
1800,0.000221894501009956,5950.10302734375,1.32029514221027,1.0,0.0,0.0,0.0
1900,0.00019990970031358302,5955.5703125,1.190576276368347,1.0,0.0,0.0,0.0
2000,0.00018093502148985863,5960.46484375,1.078456834593453,1.0,0.0,0.0,0.0
2100,0.00016444748325739056,5964.84423828125,0.9809036230076984,1.0,0.0,0.0,0.0
2200,0.00015002276632003486,5968.76904296875,0.8954512433515589,1.0,0.0,0.0,0.0
2300,0.00013731421495322138,5972.29345703125,0.8200807875225067,1.0,0.0,0.0,0.0
