step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
5600,0.00013798553845845163,0.4256681203842163,5.87360447958131e-05,1.0,0.0009573958814144135,0.0,0.0
5700,8.212257671402767e-05,0.42429614067077637,3.484429236170171e-05,1.0,0.0014360938221216202,0.0,0.0
5800,8.973412332125008e-05,0.42291614413261414,3.795000943214357e-05,1.0,0.0014360938221216202,0.0,0.0
5900,7.659936818527058e-05,0.4216846823692322,3.230078024288969e-05,1.0,0.0023934897035360336,0.0,0.0
6000,8.814157627057284e-05,0.420599102973938,3.7072267914111875e-05,1.0,0.0023934897035360336,0.0,0.0
6100,6.847487384220585e-05,0.41957250237464905,2.873017416776271e-05,1.0,0.001914791762828827,0.0,0.0
6200,6.538340676343068e-05,0.4185856580734253,2.736855634715308e-05,1.0,0.0023934897035360336,0.0,0.0
6300,4.509052450885065e-05,0.41753989458084106,1.882709285002033e-05,1.0,0.001914791762828827,0.0,0.0
6400,6.824941374361515e-05,0.4166397452354431,2.8435418354608166e-05,1.0,0.0023934897035360336,0.0,0.0
6500,8.325117960339412e-05,0.4156850576400757,3.460627139204118e-05,1.0,0.001914791762828827,0.0,0.0
6600,4.2565348849166185e-05,0.41473764181137085,1.765345240458153e-05,1.0,0.001914791762828827,0.0,0.0
6700,4.23611345468089e-05,0.4138062596321106,1.7529302640587573e-05,1.0,0.0014360938221216202,0.0,0.0
6800,8.686822548042983e-05,0.41279420256614685,3.585869986553027e-05,1.0,0.001914791762828827,0.0,0.0
6900,8.076187805272639e-05,0.41185271739959717,3.326199893831025e-05,1.0,0.0004786979407072067,0.0,0.0
7000,5.6350763770751655e-05,0.4109320044517517,2.3156332308702128e-05,1.0,0.0004786979407072067,0.0,0.0
7100,4.3182455556234345e-05,0.41004469990730286,1.7706737029816555e-05,1.0,0.0023934897035360336,0.0,0.0
7200,4.130259185330942e-05,0.4091777205467224,1.6900100387208777e-05,1.0,0.001914791762828827,0.0,0.0
7300,5.493274511536583e-05,0.4080684185028076,2.2416318423245166e-05,1.0,0.0014360938221216202,0.0,0.0
7400,3.369818296050653e-05,0.40680232644081116,1.3708499225162157e-05,1.0,0.0014360938221216202,0.0,0.0
7500,3.142171408399008e-05,0.4059619605541229,1.275602065350771e-05,1.0,0.001914791762828827,0.0,0.0
7600,2.9065726266708225e-05,0.40498700737953186,1.1771241498066817e-05,1.0,0.0009573958814144135,0.0,0.0
7700,4.787068610312417e-05,0.40407606959342957,1.9343398689291224e-05,1.0,0.0009573958814144135,0.0,0.0
7800,3.3851585612865165e-05,0.40321701765060425,1.3649535393563594e-05,1.0,0.0014360938221216202,0.0,0.0
7900,4.7324665501946583e-05,0.4022558331489563,1.9036622749981193e-05,1.0,0.0014360938221216202,0.0,0.0
8000,2.5552744773449376e-05,0.4013895094394684,1.0256603689446785e-05,1.0,0.0014360938221216202,0.0,0.0
8100,1.951132799149491e-05,0.40057435631752014,7.815737651093086e-06,1.0,0.0014360938221216202,0.0,0.0
8200,1.532926944491919e-05,0.39976567029953003,6.128115674850225e-06,1.0,0.0009573958814144135,0.0,0.0
8300,2.743889308476355e-05,0.399059534072876,1.09497518898812e-05,1.0,0.001914791762828827,0.0,0.0
8400,1.4375321370607708e-05,0.3983590006828308,5.726538655689828e-06,1.0,0.0014360938221216202,0.0,0.0
